x,y,contrast,rms,std
74.6,89.89999999999998,5.4,3.6880882038800017e-05,3.3720366027683446e-05
74.6,89.89999999999998,5.42,3.679125808689276e-05,3.379735359588729e-05
74.6,89.89999999999998,5.4399999999999995,3.6704842991412474e-05,3.386532851891592e-05
74.6,89.89999999999998,5.459999999999999,3.663147190444305e-05,3.3944783901424966e-05
74.6,89.89999999999998,5.479999999999999,3.6565887172419695e-05,3.402540193318553e-05
74.6,89.89999999999998,5.499999999999998,3.650774228113994e-05,3.410704702856959e-05
74.6,89.89999999999998,5.519999999999998,3.645669998263614e-05,3.4189590932298504e-05
74.6,89.89999999999998,5.539999999999997,3.6407776129754275e-05,3.4263844373320186e-05
74.6,89.89999999999998,5.559999999999997,3.6358224729183206e-05,3.433174612986519e-05
74.6,89.89999999999998,5.5799999999999965,3.633844736038362e-05,3.442550537334593e-05
74.6,89.89999999999998,5.599999999999996,3.6311940615011544e-05,3.4510121756689366e-05
74.6,89.89999999999998,5.619999999999996,3.629100111418813e-05,3.459510218043816e-05
74.6,89.89999999999998,5.639999999999995,3.627534866926887e-05,3.4680356121825104e-05
74.6,89.89999999999998,5.659999999999995,3.62562089275027e-05,3.4753910578401754e-05
74.6,89.89999999999998,5.679999999999994,3.6250040376224405e-05,3.483926774088634e-05
74.6,89.89999999999998,5.699999999999994,3.626089613855646e-05,3.493436150088871e-05
74.6,89.89999999999998,5.7199999999999935,3.626337357280863e-05,3.5019681947683413e-05
74.6,89.89999999999998,5.739999999999993,3.626988119213359e-05,3.510490237741976e-05
74.6,89.89999999999998,5.759999999999993,3.6280193633448e-05,3.5189960767994735e-05
74.6,89.89999999999998,5.779999999999992,3.6294094152314656e-05,3.527479908056043e-05
74.6,89.99999999999997,5.4,3.694333541796489e-05,3.3788701484783126e-05
74.6,89.99999999999997,5.42,3.6848280169331796e-05,3.3854342855480705e-05
74.6,89.99999999999997,5.4399999999999995,3.6766433702826263e-05,3.393163631438372e-05
74.6,89.99999999999997,5.459999999999999,3.669272381517347e-05,3.401026163212275e-05
